actividades con match IDU confiable (bandera ok): 183
delta total: -987206797
OJO, con unidad de medida DISTINTA a la del IDU: 29

== los 25 que mas mueven plata ==
fila	item	actividad	UM	UM IDU	cantidad	VU libro	VU IDU	delta
1118	2.5.3.2.3	Base granular clase B (BG38/BG25) para telecomunicaciones	M3	M3	2015.15	584902.67	230570	-714032983
1116	2.5.3.2.1	Excavación manual para redes profundidad 0-2 m (incluye cargue)	M3	M3	4195.45	224438.33	58471	-696307630
1117	2.5.3.2.2	Relleno para redes en arena de peña	M3	M3	1090.62	505499.11	182185	-352613025
961	2.4.3.1.1	Suministro tubería PVC flexible Ø12"	UN	ML	659	941852.76	533659	-268999685
535	2.3.3.1.3	excavacion mecanica	M3	M3	15867.6	79829.35	94195	227948369
1182	2.7.1.3.1	Excavación mecánica en material común (Incluye cargue, transporte y disposición Final)	M3	M3	5936.25	79829.35	117926	226151247
1034	2.5.1.4.1	Construcción de caja de inspección doble norma CS276	UN	UN	113	5770200	3981431	-202130897
1027	2.5.1.3.2	Suministro e instalación de banco de ductos PVC-TDP 6Ø6"	ML	ML	707.44	464651	649111	130494382
1040	2.5.1.5.3	Suministro cable 3x185 mm² Al XLPE 15 kV	ML	ML	1325.76	307400	229288	-103557765
102	2.2.2.6.3	Subbase granular SBG	M3	M2	2263.69	120348.37	77671	-96608335
685	2.3.4.1.3	excavacion mecanica	M3	M3	6372.6	79829.35	94195	91546534
104	2.2.2.6.5	Piedra rajón (mejoramiento subrasante)	M3	M3	2263.69	144708.17	182509	85569351
1177	2.7.1.2.4	Suministro de tubería de concreto reforzado DI 30" tipo Pipe Jacking	ML	ML	390.14	1682020	1478460	-79416898
277	2.3.1.2.6	Jardineria	M2	M2	1230.39	65000	122393	70615773
1252	2.7.2.2.13	CAMARA GRP 2500 * 2500 * 1200 (INCLUYE TUBERIA , CHIMENEA 2.5M Y ACCESORIOS. INCLUYE TRANSPORTE, SUMINISTRO E INSTALACION.	UN	UN	4	117421118.12	102171257	-60999444
1187	2.7.1.3.6	Suministro y colocación de geotextil Tejido 2400	M2	UN/MES	5821.37	11840.49	21674	57244443
1331	2.9.1.2.2	RELLENO EN ARENA DE PEÑA	M3	M3	746.76	110000	182185	53905157
101	2.2.2.6.2	Subbase granular SBG (sello subrasante)	M3	M3	754.55	120348.37	182509	46903304
929	2.4.2.3.3	Cargue, transporte y disposición de sobrantes	M3	M3	712.53	56603.21	117926	43694329
1241	2.7.2.2.2	Suministro y colocación de triturado 3/4	M3	M3	1375.14	149872.75	178829	39818892
1026	2.5.1.3.1	Suministro e instalación de banco de ductos PVC-TDP 4Ø6"	ML	ML	552.32	347042	276443	-38993240
542	2.3.3.2.5	Jardineria	M2	M2	674	65000	122393	38682882
1183	2.7.1.3.2	Suministro y colocación de triturado 3/4	M3	M3	1312.25	149872.75	178829	37997796
1244	2.7.2.2.5	Suministro y colocación de geotextil Tejido 2400	M2	UN/MES	3804.3	11840.49	21674	37409634
427	2.3.2.2.3	Relleno Manual Tierra Negra X 30CM	M3	M3	1745.96	90000	111152	36930624

== TODAS, para revisar ==
fila	item	actividad	UM	UM IDU	cantidad	VU libro	VU IDU	delta	apu IDU
548	2.3.3.3.4	Base granular BG	M3	M3	225.42	251774.33	255369	810311	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
551	2.3.3.3.7	Malla electrosoldada	KG	KG	9710.4	7500	7569	670018	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
566	2.3.3.4.4	Base granular BG	M3	M3	55.58	251774.33	255369	199774	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
569	2.3.3.4.7	Malla electrosoldada	KG	KG	2394	7500	7569	165186	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
582	2.3.3.5.4	Base granular BG	M3	M3	6.04	251774.33	255369	21730	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
585	2.3.3.5.7	Malla electrosoldada	KG	KG	260.4	7500	7569	17968	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
610	2.3.3.8.5	Mejoramiento en rajon 0,25m	M3	M3	197.6	95000	191937	19154751	ESTABILIZACION O MEJORAMIENTO DE SUBRASANTE CON RAJON = 6" A 12" (15 - 30 cm) Y SELLO CON SUBBASE GRANULAR CLASE C - Gr1 (SBGC_Gr1). INCLUYE (SUMINISTRO, EXTENDIDO, NIVELACION Y COMPACTACIÓN MECANICA CON EXCAVADORA MEDIANA SOBRE ORUGAS Y RODILLO VIBROCOMPACTADOR TANDEM (2,5 - 3,0 TON), TRANSPORTE DEL RAJON Y SELLO HASTA 21 KM)
637	2.3.3.9.12	Sum + MO Tuberia en acero galvanizado 2"	ML	ML	30	88000	71514	-494580	TUBERIA EN ACERO GALVANIZADA D= 2" (NO INCLUYE RELLENOS). SUMINISTRO E INSTALACIÓN.
660	2.3.3.11.11	Relleno Manual Tierra Negra X 30CM	M3	M3	47.04	90000	111152	994990	RELLENO EN TIERRA NEGRA PARA EMPRADIZACION (SUMINISTRO Y EXTENDIDO)
665	2.3.3.12.3	Relleno en arena peña	M3	M3	58.28	110000	182185	4206708	RELLENO PARA REDES EN ARENA DE PEÑA (SUMINISTRO, EXTENDIDO, HUMEDECIMIENTO Y COMPACTACIÓN)
666	2.3.3.12.4	Relleno con mezcla de gravilla de 3/4" y arena de rio	M3	M3	156.02	135000	223097	13745115	RELLENO CON MEZCLA DE GRAVILLA DE 3/4" Y ARENA DE RIO (RELACIÓN 1:1) SUMINISTRO Y COLOCACIÓN. (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO MANUAL Y COLOCACIÓN).
673	2.3.3.12.11	Caja de desague h=1 m, incluye marco y tapa	UN	UN	17	1200000	2291728	18559376	CAJA DE PASO SENCILLA EN CALZADA ETB (INCLUYE BASE, MUROS, PAÑETE, BORDILLO PERIMETRAL, MARCO Y TAPA). MEDIDAS EXTERNAS: 1.10 X 1.00M. MEDIDAS INTERNAS 0.60X0.50M. ALTURA: 1.33M.
674	2.3.3.12.12	Sumidero de concreto prefabricado	UN	UN	2	1200000	1548481	696962	SUMIDERO PARA CANAL DE DRENAJE PREFABRICADO EN POLYCONCRETO CON REJA DE FUNDICIÓN, PD-150V, CLASE DE CARGA D400, LONG=500MM, H= 575 MM, ANCHO= 180 MM, EN COLOR NATURAL, (NO INCLUYE: EXCAVACIÓN, CONCRETO, DRENAJE, RELLENOS, TAPAS O ACCESORIOS)
685	2.3.4.1.3	excavacion mecanica	M3	M3	6372.6	79829.35	94195	91546534	EXCAVACIÓN MECÁNICA EN TÚNEL.
689	2.3.4.2.2	Relleno Manual Tierra Negra X 30CM	M3	M3	899.73	90000	111152	19031089	RELLENO EN TIERRA NEGRA PARA EMPRADIZACION (SUMINISTRO Y EXTENDIDO)
697	2.3.4.3.4	Base granular BG	M3	M3	318.63	251774.33	255369	1145370	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
700	2.3.4.3.7	Malla electrosoldada	KG	KG	13725.6	7500	7569	947066	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
715	2.3.4.5.3	Relleno en arena peña	M3	M3	114.56	110000	182185	8269255	RELLENO PARA REDES EN ARENA DE PEÑA (SUMINISTRO, EXTENDIDO, HUMEDECIMIENTO Y COMPACTACIÓN)
716	2.3.4.5.4	Relleno con mezcla de gravilla de 3/4" y arena de rio	M3	M3	125.91	135000	223097	11092300	RELLENO CON MEZCLA DE GRAVILLA DE 3/4" Y ARENA DE RIO (RELACIÓN 1:1) SUMINISTRO Y COLOCACIÓN. (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO MANUAL Y COLOCACIÓN).
726	2.3.4.5.14	Caja de desague h=1 m, incluye marco y tapa	UN	UN	5	1200000	2291728	5458640	CAJA DE PASO SENCILLA EN CALZADA ETB (INCLUYE BASE, MUROS, PAÑETE, BORDILLO PERIMETRAL, MARCO Y TAPA). MEDIDAS EXTERNAS: 1.10 X 1.00M. MEDIDAS INTERNAS 0.60X0.50M. ALTURA: 1.33M.
727	2.3.4.5.15	Sumidero de concreto prefabricado	UN	UN	9	1200000	1548481	3136329	SUMIDERO PARA CANAL DE DRENAJE PREFABRICADO EN POLYCONCRETO CON REJA DE FUNDICIÓN, PD-150V, CLASE DE CARGA D400, LONG=500MM, H= 575 MM, ANCHO= 180 MM, EN COLOR NATURAL, (NO INCLUYE: EXCAVACIÓN, CONCRETO, DRENAJE, RELLENOS, TAPAS O ACCESORIOS)
736	2.3.5.1.3	excavacion mecanica	M3	M3	1814	79829.35	94195	26059287	EXCAVACIÓN MECÁNICA EN TÚNEL.
740	2.3.5.2.2	Relleno Manual Tierra Negra X 30CM	M3	M3	975	90000	111152	20623200	RELLENO EN TIERRA NEGRA PARA EMPRADIZACION (SUMINISTRO Y EXTENDIDO)
748	2.3.5.3.4	Base granular BG	M3	M3	259.15	251774.33	255369	931577	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
751	2.3.5.3.7	Malla electrosoldada	KG	KG	11163.6	7500	7569	770288	MALLA ELECTROSOLDADA 0.15X0.15M, D=5MM, 5MM (INCLUYE SUMINISTRO, FIJACIÓN E INSTALACIÓN)
767	2.3.5.5.3	Relleno en arena peña	M3	M3	49.81	110000	182185	3595373	RELLENO PARA REDES EN ARENA DE PEÑA (SUMINISTRO, EXTENDIDO, HUMEDECIMIENTO Y COMPACTACIÓN)
775	2.3.5.5.11	Caja de desague h=1 m, incluye marco y tapa	UN	UN	7	1200000	2291728	7642096	CAJA DE PASO SENCILLA EN CALZADA ETB (INCLUYE BASE, MUROS, PAÑETE, BORDILLO PERIMETRAL, MARCO Y TAPA). MEDIDAS EXTERNAS: 1.10 X 1.00M. MEDIDAS INTERNAS 0.60X0.50M. ALTURA: 1.33M.
776	2.3.5.5.12	Sumidero de concreto prefabricado	UN	UN	9	1200000	1548481	3136329	SUMIDERO PARA CANAL DE DRENAJE PREFABRICADO EN POLYCONCRETO CON REJA DE FUNDICIÓN, PD-150V, CLASE DE CARGA D400, LONG=500MM, H= 575 MM, ANCHO= 180 MM, EN COLOR NATURAL, (NO INCLUYE: EXCAVACIÓN, CONCRETO, DRENAJE, RELLENOS, TAPAS O ACCESORIOS)
784	2.4.1.1.1	Suministro tubería PVC presión Ø1"	UN	ML	0	7189.11	9728	0	TUBERIA CONDUIT PVC D=1" (INCLUYE SUMINISTRO E INSTALACIÓN)
785	2.4.1.1.2	Suministro tubería PVC presión Ø2"	UN	ML	14.95	25927.43	21606	-64605	TUBERIA CONDUIT PVC D=2" (INCLUYE SUMINISTRO E INSTALACIÓN)
786	2.4.1.1.3	Suministro tubería PVC presión Ø3"	UN	ML	11.52	49789.45	31829	-206904	TUBERIA PVC SANITARIA D=3`` TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN).
787	2.4.1.1.4	Suministro tubería PVC presión Ø4"	UN	ML	12.03	65764.1	46152	-235934	TUBERIA PVC SANITARIA D=4" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)
788	2.4.1.1.5	Suministro tubería PVC presión Ø6"	UN	ML	116.08	135112.06	93174	-4868170	TUBERIA PVC SANITARIA D=6" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)
789	2.4.1.1.6	Suministro tubería PVC presión Ø8"	UN	ML	396.8	228863.66	160366	-27179871	TUBERIA PVC SANITARIA D=8`` TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN).
790	2.4.1.1.7	Suministro tubería PVC presión Ø10"	UN	ML	0	360277.94	242906	0	TUBERÍA PVC SANITARIA D=10" TIPO U.S. (Incluye suministro e instalación)
791	2.4.1.1.8	Suministro tubería PVC presión Ø12"	UN	ML	389.62	504098.05	533659	11517535	TUBERIA PVC D=12" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
808	2.4.1.3.3	Cargue, transporte y disposición de sobrantes	M3	M3	224.02	56603.21	117926	13737532	EXCAVACIÓN MANUAL EN MATERIAL COMÚN (INCL CARGUE, TRANSPORTE Y DISPOSICION FINAL)
813	2.4.1.3.8	Cinta de señalización	ML	ML	5701.99	508.01	1094	3341290	SEÑALIZACIÓN CON CINTA DE DEMARCACION CALIBRE 3 (INCLUYE SUMINISTRO Y COLOCACIÓN)
817	2.4.1.3.12	Relleno con material seleccionado de excavación	M3	M3	0	23203.01	48122	0	RELLENO EN MATERIAL SELECCIONADO PROVENIENTE DE LA EXCAVACIÓN (EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
826	2.4.1.5.2	Codo 11,25° Ø6"	UN	UN	19	527880	304534	-4243574	CODO G.RAD. PVC 11.25° TIPO U.M. D=6" (SUMINISTRO E INSTALACIÓN)
827	2.4.1.5.3	Codo 11,25° Ø8"	UN	UN	29	767440	606781	-4659111	CODO G.RAD. PVC 11.25° TIPO U.M. D=8" (SUMINISTRO E INSTALACIÓN)
828	2.4.1.5.4	Codo 11,25° Ø12"	UN	UN	28	1299560	1690591	10948868	CODO G.RAD. PVC 11.25° TIPO U.M. D=12" (SUMINISTRO E INSTALACIÓN)
829	2.4.1.5.5	Codo 22,5° Ø6"	UN	UN	9	737760	338771	-3590901	CODO G.RAD. PVC 22.5° TIPO U.M D=6" (SUMINISTRO E INSTALACIÓN)
830	2.4.1.5.6	Codo 22,5° Ø8"	UN	UN	12	1071660	703493	-4418004	CODO G.RAD. PVC 22.5° TIPO U.M. D=8" (SUMINISTRO E INSTALACIÓN)
831	2.4.1.5.7	Codo 22,5° Ø12"	UN	UN	4	1815780	2095131	1117404	CODO G.RAD. PVC 22.5° TIPO U.M. D=12" (SUMINISTRO E INSTALACIÓN)
832	2.4.1.5.8	Codo 45° Ø6"	UN	UN	5	664620	328958	-1678310	CODO G.RAD. PVC 45º TIPO U.M. D=6" (SUMINISTRO E INSTALACIÓN)
833	2.4.1.5.9	Codo 45° Ø8"	UN	UN	20	965660	898567	-1341860	CODO G.RAD. PVC 45º TIPO U.M. D=8" (SUMINISTRO E INSTALACIÓN)
834	2.4.1.5.10	Codo 45° Ø12"	UN	UN	10	1635580	2673808	10382280	CODO G.RAD. PVC 45º TIPO U.M. D=12" (SUMINISTRO E INSTALACIÓN)
835	2.4.1.5.11	Codo 90° Ø6"	UN	UN	3	697480	376664	-962448	CODO G.RAD. PVC 90º TIPO U.M. D=6" (SUMINISTRO E INSTALACIÓN)
836	2.4.1.5.12	Codo 90° Ø8"	UN	UN	3	1013360	1342870	988530	CODO G.RAD. PVC 90º TIPO U.M. D=8" (SUMINISTRO E INSTALACIÓN)
839	2.4.1.5.15	Tee Ø6" × Ø2"	UN	UN	1	809840	758258	-51582	EMPATE ORTOGONAL PEAD-PEAD 6"X4" (INCLUYE SUMINISTRO E INSTALACIÓN DE TEE  6"X4"PEAD, 2 UNIONES, TUBERÍA RDE 21) (SUMINISTRO E INSTALACIÓN)
840	2.4.1.5.16	Tee Ø6" × Ø4"	UN	UN	17	921140	1926775	17095795	TEE PVC U.M. 6" X 4" (SUMINISTRO E INSTALACIÓN)
841	2.4.1.5.17	Tee Ø6" × Ø6"	UN	UN	4	1035620	752605	-1132060	TEE PVC U.M. 6" X 6" (SUMINISTRO E INSTALACIÓN)
842	2.4.1.5.18	Tee Ø8" × Ø2"	UN	UN	1	1136320	1117192	-19128	EMPATE ORTOGONAL PEAD-PEAD 8"X4" (INCLUYE SUMINISTRO E INSTALACIÓN DE TEE  8"X4"PEAD, 2 UNIONES, TUBERÍA RDE 21 (SUMINISTRO E INSTALACIÓN)
850	2.4.1.5.26	Tee Ø12" × Ø12"	UN	UN	12	2550360	5065423	30180756	TEE PVC U.M. 12" X 12" (SUMINISTRO E INSTALACIÓN)
863	2.4.1.5.39	Tapón Ø8"	UN	UN	3	1200980	897197	-911349	TAPON HD EXTREMO LISO D=8" (SUMINISTRO E INSTALACIÓN)
864	2.4.1.5.40	Tapón Ø12"	UN	UN	3	1952520	1738875	-640935	TAPÓN HD EXTREMO JUNTA HIDRÁULICA D=12" (Suministro e instalación)
871	2.4.1.6.1	Válvula de compuerta Ø4"	UN	UN	1	1610000	3038072	1428072	VÁLVULA DE COMPUERTA DE Ø 4" (A) CON SELLO EN BRONCE. (SUMINISTRO E INSTALACIÓN)
872	2.4.1.6.2	Válvula de compuerta Ø6"	UN	UN	9	3030000	2247570	-7041870	VALVULA COMPUERTA ELASTICA VASTAGO NO ASCENDENTE EXTREMO LISO D=6" (SUMINISTRO E INSTALACIÓN)
873	2.4.1.6.3	Válvula de compuerta Ø8"	UN	UN	17	5110000	3785326	-22519458	VALVULA COMPUERTA ELASTICA VASTAGO NO ASCENDENTE EXTREMO LISO D=8" (SUMINISTRO E INSTALACIÓN)
874	2.4.1.6.4	Válvula de compuerta Ø12"	UN	UN	10	10250000	7593696	-26563040	VALVULA COMPUERTA ELASTICA VASTAGO NO ASCENDENTE EXTREMO LISO D=12" (SUMINISTRO E INSTALACIÓN)
877	2.4.1.6.7	Válvula de cierre permanente VCP	UN	UN	3	9540000	10619048	3237144	VÁLVULA TIPO MARIPOSA DE Ø 12" CON EXTREMOS LISOS TUBERIA EN PVC INCLUYE UNIONES Y TAPA DE SEGURIDAD CIERRE PERMANENTE (INCLUYE SUMINISTRO E INSTALACIÓN).
898	2.4.1.9.9	Retiro de red existente	ML	ML	0	4106.75	4120	0	RETIRO DE RED AÉREA (INCLUYE TRANSPORTE Y DISPOSICIÓN DE SOBRANTES)
910	2.4.2.1.4	Suministro tubería PVC flexible Ø12"	UN	ML	0	941852.76	533659	0	TUBERIA PVC D=12" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
929	2.4.2.3.3	Cargue, transporte y disposición de sobrantes	M3	M3	712.53	56603.21	117926	43694329	EXCAVACIÓN MANUAL EN MATERIAL COMÚN (INCL CARGUE, TRANSPORTE Y DISPOSICION FINAL)
934	2.4.2.3.8	Cinta de señalización	ML	ML	0	508.01	1094	0	SEÑALIZACIÓN CON CINTA DE DEMARCACION CALIBRE 3 (INCLUYE SUMINISTRO Y COLOCACIÓN)
938	2.4.2.3.12	Relleno con material seleccionado de excavación	M3	M3	0	23203.01	48122	0	RELLENO EN MATERIAL SELECCIONADO PROVENIENTE DE LA EXCAVACIÓN (EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
954	2.4.2.6.3	Inspección CCTV	ML	ML	0	12681.47	15500	0	INSPECCIÓN DE REDES DE ALCANTARILLADO CON SISTEMAS CCTV PARA DIÁMETROS MAYORES A 36"
961	2.4.3.1.1	Suministro tubería PVC flexible Ø12"	UN	ML	659	941852.76	533659	-268999685	TUBERIA PVC D=12" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)
973	2.4.3.3.3	Cargue, transporte y disposición de sobrantes	M3	M3	528.58	56603.21	117926	32414001	EXCAVACIÓN MANUAL EN MATERIAL COMÚN (INCL CARGUE, TRANSPORTE Y DISPOSICION FINAL)
978	2.4.3.3.8	Cinta de señalización	ML	ML	0	508.01	1094	0	SEÑALIZACIÓN CON CINTA DE DEMARCACION CALIBRE 3 (INCLUYE SUMINISTRO Y COLOCACIÓN)
982	2.4.3.3.12	Relleno con material seleccionado de excavación	M3	M3	0	23203.01	48122	0	RELLENO EN MATERIAL SELECCIONADO PROVENIENTE DE LA EXCAVACIÓN (EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
995	2.4.3.6.6	Tubería perforada PVC Ø6" para drenaje de bioswale	ML	ML	0	95000	98731	0	TUBERIA PVC PARA DRENAJE D=6" CON FILTRO (INCLUYE SUMINISTRO E INSTALACIÓN)
1003	2.4.3.8.1	Construcción de cuneta en concreto fundida en sitio	ML	ML	0	210000	132627	0	CAÑUELA TIPO FUNDIDA EN SITIO 1000X300X225 CON CONCRETO 3000 PSI HECHO EN OBRA (SUMINISTRO Y CONSTRUCCIÓN. INCLUYE CONCRETO DE 3000 PSI HECHO EN OBRA, IMPERMEABILIZANTE PARA CONCRETO).
1022	2.5.1.2.3	Relleno y compactación con base granular clase B	M3	M3	646.92	309998	255369	-35340593	BASE GRANULAR CLASE A (BG_A) (SUMINISTRO, EXTENDIDO MANUAL, HUMEDECIMIENTO Y COMPACTACIÓN)
1026	2.5.1.3.1	Suministro e instalación de banco de ductos PVC-TDP 4Ø6"	ML	ML	552.32	347042	276443	-38993240	3 DUCTOS DE D=4" Y 3 DUCTOS DE D=6" PVC-TDP (INCLUYE SUMINISTRO E INSTALACIÓN. NO INCLUYE RELLENOS)
1027	2.5.1.3.2	Suministro e instalación de banco de ductos PVC-TDP 6Ø6"	ML	ML	707.44	464651	649111	130494382	9 DUCTOS D=6" + 2 DUCTOS DE 3" - PVC-TDP INCLUYE SUMINISTRO E INSTALACIÓN.
1028	2.5.1.3.3	Suministro e instalación de banco de ductos PVC-TDP 12Ø6"	ML	ML	0	848000	649111	0	9 DUCTOS D=6" + 2 DUCTOS DE 3" - PVC-TDP INCLUYE SUMINISTRO E INSTALACIÓN.
1029	2.5.1.3.4	Suministro e instalación de banco de ductos PVC-TDP 9Ø6"	ML	ML	0	921310	649111	0	9 DUCTOS D=6" + 2 DUCTOS DE 3" - PVC-TDP INCLUYE SUMINISTRO E INSTALACIÓN.
1034	2.5.1.4.1	Construcción de caja de inspección doble norma CS276	UN	UN	113	5770200	3981431	-202130897	CONSTRUCCION DE CAJA DE INSPECCION DOBLE PARA CANALIZACION DE M.T. Y B.T. TIPO CS 276  (Norma 2018) (Incluye concreto de base, muro de espesor 0.25m, pañete, recebo comun, escalera de gato, concreto para viga de soporte de marco y marco y tapa. No incluye tuberia). Medidas Externas: 1.69 x 1.99m. Medidas Internas: 1.19 x 1.49m. Altura total: 1.85m
1038	2.5.1.5.1	Suministro cable 3x120 mm² Al XLPE 15 kV	ML	ML	0	206700	229288	0	CABLE DE 3X20 XLPE-15-KV-AL (INCLUYE SUMINISTRO E INSTALACIÓN)
1040	2.5.1.5.3	Suministro cable 3x185 mm² Al XLPE 15 kV	ML	ML	1325.76	307400	229288	-103557765	CABLE DE 3X20 XLPE-15-KV-AL (INCLUYE SUMINISTRO E INSTALACIÓN)
1042	2.5.1.5.5	Suministro cable 3x240 mm² Al XLPE 15 kV	ML	ML	0	398560	229288	0	CABLE DE 3X20 XLPE-15-KV-AL (INCLUYE SUMINISTRO E INSTALACIÓN)
1058	2.5.1.7.5	Suministro e instalación transformador trifásico tipo aceite 225 kVA, 11,4 kV / 208-120 V	UN	UN	0	79500000	61785163	0	TRANSFORMADOR SEMISUMERGIBLE 225 KVA 11.4 /0.208-0.120 KV DYN5. (SUMINISTRO E INSTALACIÓN)
1116	2.5.3.2.1	Excavación manual para redes profundidad 0-2 m (incluye cargue)	M3	M3	4195.45	224438.33	58471	-696307630	EXCAVACION MANUAL PARA REDES PROFUNDIDAD 0M - 2M (INCLUYE CARGUE)
1117	2.5.3.2.2	Relleno para redes en arena de peña	M3	M3	1090.62	505499.11	182185	-352613025	RELLENO PARA REDES EN ARENA DE PEÑA (SUMINISTRO, EXTENDIDO, HUMEDECIMIENTO Y COMPACTACIÓN)
1118	2.5.3.2.3	Base granular clase B (BG38/BG25) para telecomunicaciones	M3	M3	2015.15	584902.67	230570	-714032983	BASE GRANULAR CLASE A (BGA_BG38) (Suministro, Extendido, Nivelación, Humedecimiento y Compactación con vibrocompactador)
1177	2.7.1.2.4	Suministro de tubería de concreto reforzado DI 30" tipo Pipe Jacking	ML	ML	390.14	1682020	1478460	-79416898	TUBERIA CONCRETO D=30" CL. IV REFORZADO (INCLUYE SUMINISTRO E INSTALACIÓN)
1182	2.7.1.3.1	Excavación mecánica en material común (Incluye cargue, transporte y disposición Final)	M3	M3	5936.25	79829.35	117926	226151247	EXCAVACIÓN MANUAL EN MATERIAL COMÚN (INCL CARGUE, TRANSPORTE Y DISPOSICION FINAL)
1183	2.7.1.3.2	Suministro y colocación de triturado 3/4	M3	M3	1312.25	149872.75	178829	37997796	RELLENO EN TRITURADO DE 3/4`` (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO MANUAL Y COLOCACIÓN)
1187	2.7.1.3.6	Suministro y colocación de geotextil Tejido 2400	M2	UN/MES	5821.37	11840.49	21674	57244443	PROTECCION A SUMIDEROS. (INCLUYE SUMINISTRO Y COLOCACION DE BOLSAS DE LONA Y GEOTEXTIL NO TEJIDO CON RESISTENCIA A LA TENSION GRAB DE 400 N).
1241	2.7.2.2.2	Suministro y colocación de triturado 3/4	M3	M3	1375.14	149872.75	178829	39818892	RELLENO EN TRITURADO DE 3/4`` (INCLUYE TRANSPORTE, SUMINISTRO, EXTENDIDO MANUAL Y COLOCACIÓN)
1244	2.7.2.2.5	Suministro y colocación de geotextil Tejido 2400	M2	UN/MES	3804.3	11840.49	21674	37409634	PROTECCION A SUMIDEROS. (INCLUYE SUMINISTRO Y COLOCACION DE BOLSAS DE LONA Y GEOTEXTIL NO TEJIDO CON RESISTENCIA A LA TENSION GRAB DE 400 N).
1252	2.7.2.2.13	CAMARA GRP 2500 * 2500 * 1200 (INCLUYE TUBERIA , CHIMENEA 2.5M Y ACCESORIOS. INCLUYE TRANSPORTE, SUMINISTRO E INSTALACION.	UN	UN	4	117421118.12	102171257	-60999444	CAMARA GRP 2500 * 2500 * 1200 (INCLUYE TUBERIA , CHIMENEA 2.5M Y ACCESORIOS. INCLUYE TRANSPORTE, SUMINISTRO E INSTALACION.
1262	2.7.2.3.9	MAT - Concreto industrializado 4000 psi	M3	M3	23.5	650000	795461	3418334	CONCRETO 4000 PSI IMPERMEABILIZADO (HECHO EN OBRA)
1280	2.7.2.4.8	MAT - Concreto industrializado 4000 psi	M3	M3	116.55	650000	795461	16953480	CONCRETO 4000 PSI IMPERMEABILIZADO (HECHO EN OBRA)
1296	2.7.2.5.8	MAT - Concreto industrializado 4000 psi	M3	M3	67.2	650000	795461	9774979	CONCRETO 4000 PSI IMPERMEABILIZADO (HECHO EN OBRA)
1322	2.9.1.1.2	TUBERIA PVC-RDE21 1"	ML	ML	6	6856.9	9728	17227	TUBERIA CONDUIT PVC D=1" (INCLUYE SUMINISTRO E INSTALACIÓN)
1324	2.9.1.1.4	ACCESORIOS 1"	UND	ML	6	16250	30750	87000	TUBERIA METALICA EMT DE D= 1". SUMINISTRO E INSTALACION. (INCLUYE ACCESORIOS DE INSTALACION Y FIJACION).
1326	2.9.1.1.6	VALVULA 1"	UND	UN	2	52000	67462	30924	VÁLVULA CHEQUE 1" (INCLUYE SUMINISTRO E INSTALACIÓN)
1331	2.9.1.2.2	RELLENO EN ARENA DE PEÑA	M3	M3	746.76	110000	182185	53905157	RELLENO PARA REDES EN ARENA DE PEÑA (SUMINISTRO, EXTENDIDO, HUMEDECIMIENTO Y COMPACTACIÓN)
