EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Acabado sintetico
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Gestión Tramites - Asesoria juridica
PERFILES VIALES (VIAS-ANDENES) > VÍA ; UM M3 ; Grano de caucho reciclado
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > ACTIVIDADES ADICIONALES (AREA DE PRESUPUESTO DE COLSUBSIDIO) ; UM GB ; HABILITACION LOTES SOBRE COTA ACUEDUCTO 2570 (LOTE 45)
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM KG ; Hierro 60000 psi - losa y vigas
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Honorarios Interventoría
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Honorarios Tramitador (Entrega obras Acueducto)
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM UN ; HSEQ
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM UN ; Identificación de interferencias
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO PLUVIAL ; UM ML ; Implementación de Plan de manejo de tránsito (Incluye señalización)
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM % ; IMPREVISTOS
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Imprevistos 3%
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Impuesto 4x1000
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Incoporación catastral
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Incrementos
INDEXACION POR EJECUTAR > INDEXACION AÑO 2023 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 01)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2023 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 02)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2023 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 03)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2023 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 07)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2023 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2023 (GENERAL)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2024 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 01)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2024 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 02)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2024 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 03)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2024 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 04)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2024 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 05)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2024 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2024 (ETAPA 07)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2024 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2024 (GENERAL)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2025 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 01)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2025 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 02)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2025 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 03)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2025 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 04)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2025 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 05)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2025 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2025 (ETAPA 07)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2025 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2025 (GENERAL)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2026 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 03)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2026 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 04)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2026 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 05)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2026 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 07)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2026 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 08)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2026 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2026 (ETAPA 09)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2026 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2026 (GENERAL)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2027 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 03)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2027 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 04)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2027 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 05)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2027 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 07)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2027 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 08)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2027 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2027 (ETAPA 09)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2027 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2027 (GENERAL)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2028 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2028 (ETAPA 04)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2028 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2028 (ETAPA 05)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2028 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2028 (ETAPA 07)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2028 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2028 (ETAPA 08)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2028 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2028 (ETAPA 09)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2028 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2028 (GENERAL)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2029 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2029 (ETAPA 04)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2029 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2029 (ETAPA 05)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2029 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2029 (ETAPA 07)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2029 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2029 (ETAPA 08)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2029 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2029 (ETAPA 09)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2029 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2029 (GENERAL)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2030 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2030 (ETAPA 04)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2030 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2030 (ETAPA 05)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2030 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2030 (ETAPA 07)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2030 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2030 (ETAPA 08)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2030 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2030 (ETAPA 09)
INDEXACION POR EJECUTAR > INDEXACION AÑO 2030 ; UM GL ; INDEXACION POR EJECUTAR AÑO 2030 (GENERAL)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE ALUMBRADO PÚBLICO ; UM M2 ; Indicador de red de alumbrado público parques
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Inspección CCTV
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM ML ; Inspección con cámara para tubería
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM ML ; Instalación de tubería de alcantarillado en concreto
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM ML ; Instalación de tubería de concreto reforzado mediante tecnología sin zanja Pipe Jacking de DI 30"
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM ML ; Instalación de tubería de concreto reforzado mediante tecnología sin zanja Pipe Jacking de DI 900mm
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM MES ; INSTALACIÓN PROVISIONAL DE ACUEDUCTO (SUMINISTRO CARROTANQUE)
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM MES ; INSTALACIÓN PROVISIONAL DE ENERGÍA (PLANTA + COMBUSTIBLE)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Instalación tubería PVC flexible Ø12"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Instalación tubería PVC flexible Ø14"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Instalación tubería PVC flexible Ø16"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Instalación tubería PVC flexible Ø18"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Instalación tubería PVC flexible Ø24"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM ML ; Instalación tubería PVC presión Ø1"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM ML ; Instalación tubería PVC presión Ø10"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM ML ; Instalación tubería y piezas especiales HD Ø4"
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM GB ; INSTALACIONES REDES ELECTRICAS
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > INTERVENTORIA + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; INTERVENTORIA + HON + REEMB ETAPA 01
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > INTERVENTORIA + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; INTERVENTORIA + HON + REEMB ETAPA 02
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > INTERVENTORIA + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; INTERVENTORIA + HON + REEMB ETAPA 03
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > INTERVENTORIA + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; INTERVENTORIA + HON + REEMB ETAPA 04
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > INTERVENTORIA + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; INTERVENTORIA + HON + REEMB ETAPA 05
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > INTERVENTORIA + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; INTERVENTORIA + HON + REEMB ETAPA 07
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > INTERVENTORIA + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; INTERVENTORIA + HON + REEMB ETAPA 08
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > INTERVENTORIA + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; INTERVENTORIA + HON + REEMB ETAPA 09
INTERVENTORIA Y ADMINISTRACIÓN DELEGADA OBRAS POR EJECUTAR > INTERVENTORIA + HONORARIOS Y REEMBOLSABLES (DEL POR EJECUTAR) ; UM % ; INTERVENTORIA + HON + REEMB GENERAL
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Jardineria
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM JG ; Juego de terminales premoldeados 15 kV para cable MT
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Kit de nivelación para hidrante de tráfico
MANTENIMIENTO HUMEDAL (2023 - 2030) > MANTENIMIENTO HUMEDAL (2024) ; UM GL ; LIMPIEZA DE LODOS
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Limpieza interna de tubería y pozos
MANTENIMIENTO HUMEDAL (2023 - 2030) > MANTENIMIENTO HUMEDAL (2024) ; UM GL ; LIMPIEZA PERIODICA
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Línea cebreada para paso de peatones (a=0,4m) - Pintura de dos componentes metil metacrilato
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM ML ; Línea continua de color amarillo - Pintura de dos componentes metil metacrilato (a=0,12m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM ML ; Línea continua de color amarillo - Pintura de dos componentes metil metacrilato (a=0,15m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM ML ; Línea continua de color blanco - Pintura de dos componentes metil metacrilato (a=0,12m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM ML ; Línea continua de color blanco para ciclorruta - Pintura acrílica (a=0,10m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Línea de Pare - Pintura acrílica (a=0,2m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Línea de Pare - Pintura de dos componentes metil metacrilato (a=0,6m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM ML ; Línea discontinua de color amarillo para ciclorruta 1m x 2m - Pintura acrílica (a=0,10m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM ML ; Línea discontinua de color blanco 1m x 1m - Pintura de dos componentes metil metacrilato (a=0,20m)
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM ML ; Línea discontinua de color blanco 3m x 5m - Pintura de dos componentes metil metacrilato (a=0,12m)
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Localizacion y replanteo
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM ML ; Localización y replanteo topográfico
PERFILES VIALES (VIAS-ANDENES) > CICLORRUTA ; UM ML ; M.O. instalación de cañuela prefabricada
PERFILES VIALES (VIAS-ANDENES) > RAMPA VEHICULAR ; UM UN ; M.O. instalación pieza remate A-105
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM UND ; MACROMEDIDOR 4
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM KG ; Malla electrosoldada
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM UN ; Malla o puesta a tierra para CDMT y cajas de maniobra
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM DÍA ; Manejo y agotamiento de aguas
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Mano de obra losa contrapiso
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ16 ; UM ML ; Mano de obra tuberia novafort 250 mm - 8"
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ19 ; UM ML ; Mano de obra tuberia novafort 315 mm - 4"
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Mano de obra tuberia novafort 315 mm - 6"
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM GB ; Manual de operación, entrega y puesta en servicio
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM GB ; Manual, entrega y puesta en servicio
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Maquinas gym
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM KG ; MAT - Alambre negro
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M3 ; MAT - Concreto industrializado 4000 psi
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M3 ; MAT - Concreto pobre 1500 psi
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M3 ; MAT - Concreto tremie 4000 psi
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM KG ; MAT - Hierro 60000 PSI
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Mejoramiento en gravilla(material de filtro)
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; Mejoramiento en rajon 0,25m
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM UN ; Mesa rural con asientos
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M3 ; MO - Box Culvert(Incluye formaleta y consumible)
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM M2 ; MO - Concreto de limpieza
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM KG ; MO - Manejo de hierro
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM ML ; MO - Pilote Preexcavado ø50cm
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; MO Dados cerramiento
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PQ14 ; UM M3 ; MO escalera
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; MO Escobillado concreto
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; MO Muro contencion con zarpa
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; MO Placa de contrapiso
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; MO Pulida de concreto con helicoptero
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; MO Vigas corridas cimentacion cerramiento
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M3 ; mortero de nivelacion
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM UN ; Movilizacion equipos pilotaje hinca y prebarrena
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Niples, pasamuros, bridas y piezas especiales
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Obra civil VRP asimétrica costado norte
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM UN ; Obra civil VRP simétrica costado sur
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > ACTIVIDADES ADICIONALES (AREA DE PRESUPUESTO DE COLSUBSIDIO) ; UM GB ; OBRAS CIVILES CONEXIONES LOTE 05 (ZARZAL)
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > ACTIVIDADES ADICIONALES (AREA DE PRESUPUESTO DE COLSUBSIDIO) ; UM M2 ; OBRAS DE MITIGACION ETAPA 8
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > ACTIVIDADES ADICIONALES (AREA DE PRESUPUESTO DE COLSUBSIDIO) ; UM M2 ; OBRAS DE MITIGACION ETAPA 9
PRELIMINARES > OBRAS PRELIMINARES ; UM GL ; Obras preliminares generales
OPERACIÓN PTAR (AGOSTO 2023 - AGOSTO 2029) > OPERACION ANUAL ; UM AÑO ; OPERACIÓN PTAR (AGOSTO 2023 - AGOSTO 2024)
OPERACIÓN PTAR (AGOSTO 2023 - AGOSTO 2029) > OPERACION ANUAL ; UM AÑO ; OPERACIÓN PTAR (AGOSTO 2024 - AGOSTO 2025)
OPERACIÓN PTAR (AGOSTO 2023 - AGOSTO 2029) > OPERACION ANUAL ; UM AÑO ; OPERACIÓN PTAR (AGOSTO 2025 - AGOSTO 2026)
OPERACIÓN PTAR (AGOSTO 2023 - AGOSTO 2029) > OPERACION ANUAL ; UM AÑO ; OPERACIÓN PTAR (AGOSTO 2026 - AGOSTO 2027)
OPERACIÓN PTAR (AGOSTO 2023 - AGOSTO 2029) > OPERACION ANUAL ; UM AÑO ; OPERACIÓN PTAR (AGOSTO 2027 - AGOSTO 2028)
OPERACIÓN PTAR (AGOSTO 2023 - AGOSTO 2029) > OPERACION ANUAL ; UM AÑO ; OPERACIÓN PTAR (AGOSTO 2028 - AGOSTO 2029)
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Pago de Servidumbres con cuantía
TRONCAL Y CABEZAL MUÑA > CABEZAL DE DESCARGA ; UM MES ; PALETEROS
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM UN ; Pasos o escalera de acceso
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Pictograma de bicicleta - Pintura acrílica
PERFILES VIALES (VIAS-ANDENES) > SEÑALIZACIÓN Y DEMARCACIÓN ; UM M2 ; Pictograma de cruce peatonal - Pintura de dos componentes metil metacrilato
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM ML ; Pintura de trafico peatonal y deportivo antideslizante Demarcacion de cancha
(LOCAL MUÑA) OBRAS PIPEJACKING PATIO PORTAL > OBRAS PIPEJACKING PATIO PORTAL ; UM ML ; PIPEJACKING
EQUIPAMIENTOS (PARQUES-SENDEROS PEATONALES Y PUENTES) > PL3 ; UM M2 ; Piso en mulch de madera inorganico
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PL 1 - MANTENIMIENTO
ACTIVIDADES Y OBRAS ADICIONALES (MANTENIMIENTOS Y OBRAS COLSUBSIDIO) > MANTENIMIENTOS DE PARQUES Y VIAS ; UM M2 ; PL 3 - MANTENIMIENTO
PLAN DE GESTION URBANA (PGU) ETAPAS > PGU - (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PLAN DE GESTION URBANA (PGU) ETAPA 01
PLAN DE GESTION URBANA (PGU) ETAPAS > PGU - (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PLAN DE GESTION URBANA (PGU) ETAPA 02
PLAN DE GESTION URBANA (PGU) ETAPAS > PGU - (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PLAN DE GESTION URBANA (PGU) ETAPA 03
PLAN DE GESTION URBANA (PGU) ETAPAS > PGU - (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PLAN DE GESTION URBANA (PGU) ETAPA 04
PLAN DE GESTION URBANA (PGU) ETAPAS > PGU - (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PLAN DE GESTION URBANA (PGU) ETAPA 05
PLAN DE GESTION URBANA (PGU) ETAPAS > PGU - (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PLAN DE GESTION URBANA (PGU) ETAPA 07
PLAN DE GESTION URBANA (PGU) ETAPAS > PGU - (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PLAN DE GESTION URBANA (PGU) ETAPA 08
PLAN DE GESTION URBANA (PGU) ETAPAS > PGU - (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PLAN DE GESTION URBANA (PGU) ETAPA 09
ALMA CAFÉ > RED SUMINISTRO ALMA CAFÉ ; UM UND ; PLAN DE MANEJO DE TRAFICO
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM ML ; Plan de manejo de tránsito y señalización
TRONCAL Y CABEZAL MUÑA > TRONCAL MUÑA ; UM GLB ; Planos record
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ACUEDUCTO ; UM GB ; Planos récord y levantamiento final (Red de acueducto)
REDES HIDRAULICAS-SANITARIAS Y GAS > RED DE ALCANTARILLADO SANITARIO ; UM GB ; Planos récord y levantamiento final (Red de alcantarillado sanitario)
REDES SECAS (TELECOMUNICACIONES-ALUMBRADO PUBLICO Y MEDIA TENSION) > RED DE MEDIA TENSIÓN ; UM GB ; Planos récord, rotulado e inventario final de red MT
COSTOS PLAN DE MANEJO DE TRAFICO (PMT) > PMT (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PMT - ETAPA 01
COSTOS PLAN DE MANEJO DE TRAFICO (PMT) > PMT (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PMT - ETAPA 02
COSTOS PLAN DE MANEJO DE TRAFICO (PMT) > PMT (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PMT - ETAPA 03
COSTOS PLAN DE MANEJO DE TRAFICO (PMT) > PMT (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PMT - ETAPA 04
COSTOS PLAN DE MANEJO DE TRAFICO (PMT) > PMT (ACT POR EJECUTAR ET 1 a 9) ; UM % ; PMT - ETAPA 05
